Column1;Title;Price;Address;Suburb;Type;bedroom;bathroom;lat;lon;garage
395;2 Bed Apartment in White River Central; 680 000;White River;White River;Apartment;2;1;;;1
396;2 Bed Apartment in White River Central; 699 000;5 Stelliahof;White River;Apartment;2;1;-25.332089999999937;31.014120000000048;1
397;4 Bed House in Hillsview; 1 050 000;White River;White River;House;4;2;;;1
398;3 Bed Townhouse in White River; 1 250 000;White River;White River;Townhouse;3;1;;;1
399;4 Bed House in White River; 1 695 000;White River;White River;House;4;4;;;1
400;9 Bed House in White River; 3 200 000;White River;White River;House;9;9;;;1
401;Farm in White River; 5 200 000;White River;White River;Farm;3;3;;;1
402;4 Bed House in Longmere Estate; 14 200 000;White River;White River;House;4;5;;;3
403;1 Bed Apartment in White River Central; 595 000;White River;White River;Apartment;1;1;;;
404;2 Bed Apartment in White River; 806 250;White River;White River;Apartment;2;2;;;
405;2 Bed Apartment in White River; 820 000;White River;White River;Apartment;2;2;;;
406;2 Bed Apartment in White River Central; 820 000;White River;White River;Apartment;2;2;;;
407;2 Bed Apartment in White River; 838 000;White River;White River;Apartment;2;2;;;
408;1 ha Farm in White River; 1 450 000;Lakeview 14;White River;Farm;;;-25.326269999999965;31.022020000000055;
409;4 Bed House in White River; 1 700 000;White River;White River;House;4;3.5;;;2
410;3 Bed House in White River; 2 345 000;White River;White River;House;3;2;;;2
411;4 Bed House in White River; 2 445 000;White River;White River;House;4;2.5;;;2
412;2.2 ha Farm in White River; 3 250 000;White River;White River;Farm;10;8;;;
413;9 Bed House in White River Central; 6 800 000;White River;White River;House;9;9;;;
414;1 Bed Apartment in White River Central; 525 000;White River;White River;Apartment;1;1;;;
415;2 Bed Apartment in White River; 720 000;White River;White River;Apartment;2;1;;;
416;2 Bed House in White River; 750 000;White River;White River;House;2;2;;;
417;2 Bed House in White River Central; 755 000;White River;White River;House;2;1;;;
418;2 Bed Apartment in White River; 820 000;White River;White River;Apartment;2;2;;;
419;19 ha Farm in White River; 1 800 000;White River;White River;Farm;;;;;
420;33.5 ha Farm in White River; 3 300 000;White River;White River;Farm;;;;;
421;1 ha Farm in White River;Price on Application;White River;White River;Farm;5;5.5;;;
422;1 ha Land available in White River;Price on Application;White River;White River;Land;;;;;
423;3 Bed Townhouse in White River;Price on Application;White River;White River;Townhouse;3;1;;;1
424;8 Bed House in White River;Price on Application;White River;White River;House;8;8;;;2
425;3 Bed House in White River;Price on Application;White River;White River;House;3;3;;;
426;4.3 ha Farm in White River Central;Price on Application;White River;White River;Farm;7;8;;;4
427;17.4 ha Farm in White River;Price on Application;White River;White River;Farm;4;2;;;2
428;22.4 ha Farm in White River;Price on Application;White River;White River;Farm;;;;;
429;22.4 ha Farm in White River;Price on Application;White River;White River;Farm;;;;;
430;22.4 ha Farm in White River;Price on Application;White River;White River;Farm;;;;;
431;22.4 ha Farm in White River;Price on Application;White River;White River;Farm;;;;;
